Gender,Age,YearsCodePro,Country,Salary,EdLevel
Man,19.0,1.0,Canada,33900.0,Some college/university study without earning a degree
Woman,28.0,4.0,Germany,50266.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,25.0,3.0,India,10471.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,28.0,6.0,United Kingdom,46533.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Woman,24.0,3.0,United States,108000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,33.0,3.0,United States,60000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,24.0,2.0,United States,70000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,49.0,27.0,Canada,77144.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,34.0,13.0,United Kingdom,84019.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
"Non-binary, genderqueer, or gender non-conforming",39.0,4.0,Other,312.0,No formal education
,33.0,12.0,Germany,45396.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,24.0,2.0,United States,95000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Woman,41.0,12.0,Canada,55967.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,52.0,26.0,Croatia,45288.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Woman,24.0,1.0,Other,6000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,,17.0,United States,100000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,22.0,3.0,United Kingdom,40070.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,32.0,8.0,Germany,81074.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Woman,36.0,1.0,United States,59999.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,30.0,10.0,United Kingdom,84019.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,31.0,8.0,Canada,71850.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,22.0,2.0,Poland,25272.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,34.0,14.0,Argentina,14796.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
